ID_Referensi,Kategori,Nama_Modul,Status_Ekosistem,Modul_Odoo_Terkait,Status_Odoo,Deskripsi_Cakupan,Rekomendasi_Saran
MOD-01,Core & Public Interaction,Dynamic Incognito Form & DB Ingestion,Milik User (Standalone Primary),Website Form / Survei,Mengalah ke MOD-01,Ingestion data formulir publik dinamis & anonim tanpa login langsung ke Supabase dengan proteksi rate limit.,Pertahankan sebagai modul custom standalone; Odoo mengalah.
MOD-02,Core & Public Interaction,Payment & Donation via QR (QRIS / EMVCo),Milik User (Standalone Primary),Payment Acquirer / POS QR,Mengalah ke MOD-02,Payment gateway & donasi QRIS dinamis/statis standar EMVCo lokal Indonesia dengan verifikasi webhook instan.,Keunggulan lokal spesifik Indonesia; Odoo tidak memiliki QRIS native tanpa 3rd-party plugin.
MOD-03,Core & Public Interaction,Article & Content Studio (Benchmark WEB-UMAR),Milik User (Standalone Primary),Blog / Website Builder,Mengalah ke MOD-03,"CMS konten artikel, manajemen media via ImageKit, SEO metadata, dan rich-text block editor.",Gunakan CMS kustom user untuk kecepatan jamstack/headless; Odoo Blog mengalah.
MOD-04,Core & Public Interaction,"Events, Ticketing & QR Registration",Milik User (Standalone Primary),Acara (Events),Mengalah ke MOD-04,"Manajemen acara publik, pemesanan tiket, check-in QR scanner di lokasi, dan e-ticket via email.",Gunakan arsitektur user; Odoo Events mengalah.
MOD-05,Sales & CRM Suite,CRM Lead Pipeline & Deal Management,Milik User (Standalone Primary),CRM,Mengalah ke MOD-05,"Kanban pipeline leads, deal stages, estimasi revenue, dan histori interaksi prospek.",CRM user dipertahankan sebagai inti; Odoo CRM mengalah.
MOD-06,Sales & CRM Suite,E-Commerce Product Catalog & Cart Checkout,Milik User (Standalone Primary),eCommerce,Mengalah ke MOD-06,"Katalog produk multi-kategori, keranjang belanja, checkout multi-kurir, dan sinkronisasi stok.",Headless commerce user tetap utama; Odoo eCommerce mengalah.
MOD-07,Sales & CRM Suite,"Invoicing, Billing & PDF Receipt Engine",Milik User (Standalone Primary),Faktur / Langganan,Mengalah ke MOD-07,"Pembuatan faktur otomatis, tagihan berulang, cetak PDF invoice/kuitansi, dan status pelunasan.",Faktur billing user tetap utama; Odoo Faktur & Langganan mengalah.
MOD-08,Sales & CRM Suite,Customer Portal & Member Self-Service,Milik User (Standalone Primary),Portal Customer,Mengalah ke MOD-08,"Area mandiri pelanggan untuk melihat riwayat order, unduh invoice, kelola tiket, dan profile auth.",Odoo portal mengalah ke modul user.
MOD-09,Operations Suite,Multi-Warehouse Inventory & Stock Management,Milik User (Standalone Primary),Inventaris,Mengalah ke MOD-09,"Pelacakan stok multi-lokasi/gudang, kartu stok, stock adjustment, dan transfer antar gudang.",Inventaris user tetap mandiri; Odoo Inventaris mengalah.
MOD-10,Operations Suite,Appointment & Booking Schedule Engine,Milik User (Standalone Primary),Appointment / Planning,Mengalah ke MOD-10,"Penjadwalan janji temu online, integrasi kalender, alokasi staf/ruangan, dan konfirmasi otomatis.",Odoo Appointment & Planning mengalah ke MOD-10.
MOD-11,Operations Suite,Membership Tier & Loyalty Points Engine,Milik User (Standalone Primary),Loyalty & Rewards,Mengalah ke MOD-11,"Kalkulasi poin loyalitas transaksi, tingkatan member (tiering), voucher diskon, dan penukaran reward.",Keunggulan kustom user; Odoo reward mengalah.
MOD-12,Governance Suite,KPI Analytics & Executive Reporting Dashboard,Milik User (Standalone Primary),Spreadsheet (BI),Mengalah ke MOD-12,"Visualisasi metrik bisnis, agregasi data transaksi real-time, grafik performa, dan ekspor laporan eksekutif.",Dashboard analytics user tetap mandiri; Odoo Spreadsheet (BI) mengalah.
MOD-13,Governance Suite,"System Health, Observability & Uptime Probes",Milik User (Standalone Primary),Tidak Ada (Infrastruktur / SRE),Tidak Ada di Odoo Standar,"Monitoring uptime API, status koneksi Supabase/ImageKit/Resend, probe latensi, dan log kegagalan sistem.",Modul unik tingkat SRE/DevOps milik user yang tidak dimiliki Odoo modul bisnis biasa.
MOD-14,Governance Suite,Archive Project & Cold Storage Lifecycle,Milik User (Standalone Primary),Tidak Ada (Data Archiving API),Tidak Ada di Odoo Standar,Otomatisasi pengarsipan data lama ke cold storage (Google Drive / S3) untuk optimasi database.,Fitur data lifecycle unik milik user untuk efisiensi penyimpanan Supabase.
MOD-15,Governance Suite,RBAC Granular Permissions & Audit Trail System,Milik User (Standalone Primary),User Rights & Groups,Mengalah ke MOD-15,Role-Based Access Control granular level tabel & fungsi via Supabase RLS serta pencatatan audit log mutlak.,Fondasi keamanan data user; Odoo access rules mengalah.
MOD-16,Communication Suite,"Helpdesk, Support Ticket & SLA Manager",Milik User (Standalone Primary),Helpdesk,Mengalah ke MOD-16,"Ticketing komplain pelanggan, level prioritas, SLA counter, routing penugasan agen, dan notifikasi tiket.",Sistem helpdesk user tetap mandiri; Odoo Helpdesk mengalah.
MOD-17,Communication Suite,Multi-Channel Broadcast & Notification Engine (Email/WhatsApp),Milik User (Standalone Primary),Email Marketing / SMS Marketing / WhatsApp / Otomatisasi Marketing,Mengalah ke MOD-17,"Pusat broadcast pesan massal otomatis via email (Resend) dan WhatsApp API, pengingat jatuh tempo, dan campaign broadcast.",Engine notifikasi terpadu user mengambil alih seluruh fungsi broadcast Odoo.
