No,Kategori,Nama_Aset,Deskripsi_Kebutuhan,Orientasi_Rasio,Format_Rekomendasi,Min_Qty,Target_Folder_GDrive,Status
1,Fasad & Eksterior,Foto Fasad Masjid Siang,Tampak depan plang nama Masjid Sophia & gerbang utama saat cuaca cerah,Landscape (16:9),WebP / JPG High-Res,3,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
2,Fasad & Eksterior,Foto Fasad Masjid Malam,Tampak depan masjid dengan lampu malam menyala hangat dan area parkir ramah musafir,Landscape (16:9),WebP / JPG High-Res,2,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
3,Fasad & Eksterior,Plang Nama & Landmark,Detail signage plang nama Masjid Sophia & penunjuk arah samping UMAR Travel,Landscape / Square (1:1),WebP / JPG High-Res,2,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
4,Makan Berjamaah Gratis,Foto Hidangan Siap Saji,Deretan porsi nasi & lauk pauk higienis siap santap ba'da Dzuhur (close-up & wide),Landscape (16:9),WebP / JPG High-Res,5,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
5,Makan Berjamaah Gratis,Suasana Makan Bersama Jamaah,Jamaah musafir santri dan ojol sedang menikmati makan siang bersama dengan tertib dan ceria,Landscape (16:9),WebP / JPG High-Res,6,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
6,Makan Berjamaah Gratis,Tim Relawan & Dapur,Dokumentasi pengurus/relawan saat menata dan mendistribusikan porsi makanan,Landscape (16:9),WebP / JPG High-Res,3,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
7,Ibadah & Ruang Shalat,Ruang Shalat Utama & Mihrab,Kebersihan karpet saf shalat mimbar imam dan pencahayaan ruang utama yang asri,Landscape (16:9),WebP / JPG High-Res,4,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
8,Ibadah & Ruang Shalat,Suasana Shalat Berjamaah,Saf shalat berjamaah waktu rawatib dan shalat Jumat yang khidmat,Landscape (16:9),WebP / JPG High-Res,4,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
9,Santri Tahfidz Quran,Halaqah Al-Quran Bersama Ustadz,Santri sedang talaqqi / mengaji memegang mushaf bersama ustadz pembina,Landscape / Square (1:1),WebP / JPG High-Res,5,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
10,Santri Tahfidz Quran,Ujian Tasmi' & Setoran Hafalan,Momen khidmat santri saat tasmi' hafalan 5 juz / 30 juz di depan dewan guru,Landscape (16:9),WebP / JPG High-Res,3,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
11,Fasilitas Musafir 24 Jam,Area Wudhu & Kamar Mandi,Kebersihan kran wudhu lantai keset dan toilet yang selalu bersih higienis,Landscape / Square (1:1),WebP / JPG High-Res,4,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
12,Fasilitas Musafir 24 Jam,Dispenser & Air Minum Gratis,Fasilitas air minum higienis gratis untuk musafir dan jamaah,Square (1:1) / Portrait,WebP / JPG High-Res,2,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
13,Fasilitas Musafir 24 Jam,Area Singgah & Istirahat Musafir,Sudut istirahat sejuk dan tenang bagi musafir melepas lelah perjalanan,Landscape (16:9),WebP / JPG High-Res,3,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
14,Tokoh & Petugas Ibadah,Foto Portrait Imam Rawatib,Foto portrait resmi/semi-formal Imam Rawatib (background netral/masjid),Square (1:1) / Portrait,WebP / JPG High-Res,2,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
15,Tokoh & Petugas Ibadah,Foto Portrait Asatidz & Penceramah,Foto portrait penceramah kajian tematik / khatib Jumat,Square (1:1) / Portrait,WebP / JPG High-Res,3,"https://drive.google.com/drive/folders/1ZrRTEAClir4myN7t0r3-eNj35rf_-uS4?usp=sharing",Pending
16,Video B-Roll & Cinematic,Video B-Roll Hero Header,Klip sinematik slow motion suasana fasad masjid lantunan adzan & persiapan makan siang,Landscape 16:9 (1080p 60fps),MP4 (H.264 / WebM),2,"https://drive.google.com/drive/folders/13FUgFZV8w9tQT7loG9VrGIimFNo6_TJo?usp=sharing",Pending
17,Video Dokumentasi Kegiatan,Video Penyaluran Makan Gratis,Video dokumentasi 15-30 detik distribusi makan siang gratis ba'da Dzuhur,Landscape / Portrait (Reels),MP4 (1080p),3,"https://drive.google.com/drive/folders/13FUgFZV8w9tQT7loG9VrGIimFNo6_TJo?usp=sharing",Pending
18,Video Dokumentasi Kegiatan,Video Murottal & Halaqah Santri,Cuplikan santri melantunkan ayat suci Al-Quran dengan tartil di ruang shalat,Landscape / Portrait (Reels),MP4 (1080p),2,"https://drive.google.com/drive/folders/13FUgFZV8w9tQT7loG9VrGIimFNo6_TJo?usp=sharing",Pending
